HR,Watts
128,123
128,122
128,123
129,122
130,122
131,123
132,121
131,121
132,123
133,122
134,121
134,121
135,122
136,122
137,122
138,122
139,123
140,121
140,121
140,121
140,123
140,123
141,123
142,122
142,122
142,122
142,122
143,124
142,122
142,121
141,121
140,122
139,122
138,122
137,122
136,122
135,122
135,122
135,124
134,121
134,122
134,122
135,122
135,122
135,121
135,122
135,122
135,122
135,122
135,122
136,122
136,123
136,123
137,123
137,122
137,122
136,123
136,121
136,121
137,122
138,122
139,121
139,122
140,123
140,124
140,121
139,121
139,122
137,122
136,122
135,121
134,122
133,123
133,123
132,122
132,122
132,121
131,122
131,123
130,122
130,122
130,122
130,123
130,122
129,122
129,122
128,122
127,121
127,123
126,122
126,122
125,122
124,122
122,122
122,122
123,122
124,122
125,122
126,122
127,122
128,122
128,122
129,122
128,122
130,122
131,122
131,122
131,121
130,122
129,122
128,122
127,122
128,123
128,122
128,122
129,122
130,122
131,122
131,122
131,123
132,122
133,122
133,122
133,122
133,123
133,122
133,122
133,122
134,122
134,122
134,122
134,122
134,155
134,185
135,183
134,184
135,186
135,184
135,184
136,184
137,185
138,184
139,188
140,185
141,184
141,184
141,184
141,187
141,186
141,184
140,184
140,185
140,185
140,185
141,185
141,185
141,185
141,185
142,185
142,185
143,185
143,185
143,186
144,186
144,186
144,184
144,185
144,185
144,184
144,186
144,186
144,185
145,184
145,185
145,185
146,184
146,185
147,187
147,184
147,184
148,184
148,185
148,185
148,185
148,184
148,187
147,186
147,185
147,185
147,185
147,185
147,185
147,185
148,185
149,185
149,185
150,184
149,185
148,188
148,186
149,185
149,185
149,185
149,184
150,185
150,185
151,184
151,185
152,184
152,185
152,185
152,186
152,185
152,185
152,185
151,184
150,186
150,186
150,184
150,185
150,185
150,186
149,186
149,184
149,184
149,186
149,186
148,185
149,185
148,185
148,185
148,184
148,184
148,184
148,185
148,185
148,185
149,185
149,185
148,188
149,185
148,185
148,186
148,186
149,186
149,186
149,185
149,185
150,185
150,184
150,184
151,185
151,189
151,189
151,235
152,235
152,234
152,233
152,234
152,232
152,233
153,235
153,235
153,234
153,232
153,237
153,236
153,235
154,235
154,234
154,235
154,233
155,234
156,233
157,233
157,234
158,234
159,233
159,235
160,234
160,236
160,234
161,235
161,233
161,233
161,233
162,232
161,233
161,233
162,234
162,237
162,235
162,233
163,235
163,233
163,235
163,234
163,233
163,233
163,235
164,232
164,234
164,234
164,233
164,235
164,238
164,234
164,234
164,234
164,233
164,234
164,234
163,234
164,231
163,203
164,183
163,184
164,184
163,185
164,185
164,185
163,185
163,184
163,185
163,184
163,185
163,187
162,187
161,186
161,186
162,186
162,185
163,186
164,184
165,186
166,185
166,185
166,187
167,184
167,185
168,185
168,185
169,185
169,189
170,184
169,184
169,184
168,185
167,185
166,185
164,185
164,185
163,185
162,184
162,184
162,187
161,186
161,185
160,184
160,185
159,186
159,184
159,186
159,187
159,185
159,184
159,186
160,186
160,185
160,184
159,184
160,188
160,186
159,184
159,184
159,185
158,185
158,185
158,185
157,185
156,185
156,185
156,184
156,187
156,185
156,186
156,186
156,186
156,186
156,185
157,184
156,187
157,185
157,184
158,185
159,184
160,184
161,185
161,186
163,186
163,186
164,185
165,185
165,184
166,189
166,185
166,185
165,184
164,185
163,184
161,185
159,184
158,184
158,187
157,184
157,184
157,185
157,185
157,185
156,185
155,184
155,186
154,186
155,185
155,185
156,186
155,186
155,184
154,188
153,186
154,185
154,185
154,185
154,185
155,192
155,228
156,236
156,234
156,235
157,235
157,235
157,235
158,236
158,233
158,233
159,235
159,233
159,233
159,234
160,233
160,232
160,235
160,234
160,233
160,234
160,235
160,233
160,234
161,234
161,233
162,235
163,233
162,233
163,234
163,235
163,233
164,234
164,235
164,235
164,235
165,233
165,234
165,235
164,234
165,232
165,236
165,236
166,233
166,233
167,233
167,233
168,233
168,234
168,235
169,233
169,234
169,235
169,234
170,233
170,232
170,234
170,234
170,235
170,235
170,235
170,232
169,214
169,179
168,180
168,182
167,187
167,184
166,182
166,185
166,187
166,185
166,186
167,185
167,185
168,185
169,185
169,187
170,189
171,185
170,185
170,185
169,185
168,185
167,184
166,185
165,185
165,187
165,187
165,187
165,187
165,186
165,186
165,185
166,184
166,184
166,184
165,183
165,184
164,184
164,185
164,187
164,184
164,185
164,184
164,185
164,188
164,186
163,186
164,185
164,184
164,184
165,185
165,184
165,185
165,185
164,185
164,184
164,185
163,185
163,188
163,187
163,184
163,185
163,184
162,184
162,187
162,187
162,186
162,185
162,185
162,184
162,185
162,184
161,185
161,185
160,184
160,186
159,185
160,184
160,187
160,184
160,183
160,186
161,185
160,184
160,184
160,185
160,188
160,190
160,187
160,184
159,185
159,183
158,184
158,182
158,187
159,186
159,182
159,184
160,183
161,184
161,182
162,185
162,193
163,186
164,184
164,184
163,183
162,185
162,185
161,187
162,185
162,184
161,186
161,184
161,184
160,185
160,186
160,185
160,186
160,186
161,188
161,198
161,232
160,232
160,232
159,233
159,233
158,235
159,232
159,232
159,237
160,231
160,231
161,234
161,235
162,232
162,232
162,232
162,233
162,235
162,237
162,232
162,234
162,234
163,236
163,238
164,231
165,233
165,242
166,236
166,231
166,231
167,235
167,236
167,233
167,235
167,238
167,240
168,237
167,233
167,238
167,237
168,234
168,232
168,235
169,235
169,233
169,234
169,234
169,236
169,234
168,231
168,230
167,231
167,235
166,237
167,237
167,237
168,233
169,234
169,234
169,233
170,211
170,186
172,185
173,185
175,184
176,183
177,186
178,187
179,184
180,183
180,184
180,187
181,185
181,184
181,186
181,184
182,185
181,184
181,184
180,183
179,183
179,190
178,186
177,186
177,191
177,187
176,185
175,185
174,184
173,184
171,183
169,185
170,185
170,184
170,186
170,186
170,185
171,184
171,184
172,186
171,184
171,186
170,185
170,184
169,184
169,185
168,185
168,186
168,184
167,184
167,184
166,186
166,184
166,184
165,185
165,185
165,185
165,185
165,185
164,185
164,186
163,185
162,185
162,184
162,186
162,185
162,187
162,183
162,183
162,185
162,185
163,185
164,186
165,186
165,187
166,188
166,184
166,184
166,183
165,185
165,185
165,185
164,184
164,185
164,185
164,186
164,186
162,185
161,185
160,185
159,184
159,186
158,184
158,184
157,186
157,184
156,186
156,185
157,184
157,184
158,184
157,184
157,184
157,185
156,186
156,186
156,185
156,185
155,184
155,185
155,186
155,187
156,184
155,184
155,186
155,185
156,185
156,184
156,184
156,184
156,221
157,240
158,237
158,235
159,235
159,234
160,233
160,234
161,233
161,234
161,234
162,236
162,233
163,233
163,234
163,235
164,233
164,233
164,232
165,234
165,235
165,235
165,233
165,233
165,234
164,234
164,232
164,232
164,233
163,234
162,233
162,234
162,234
162,237
163,237
164,235
165,232
165,234
166,235
166,233
166,234
166,234
166,235
167,234
167,234
168,237
168,234
169,236
169,236
169,239
170,234
170,233
171,235
172,235
172,234
172,231
173,231
173,231
173,232
173,214
173,214
173,214
172,179
172,183
171,184
171,184
171,185
170,185
170,184
170,185
171,185
170,189
170,183
171,184
171,184
171,184
171,184
171,186
170,184
170,183
170,183
170,185
170,185
169,183
169,183
169,184
168,184
168,184
167,187
167,187
166,187
166,187
166,188
166,187
166,188
166,187
166,184
166,186
166,184
166,185
166,185
166,184
166,184
166,183
166,185
165,184
165,184
164,182
164,188
165,185
165,185
165,184
166,184
166,185
167,186
168,186
169,184
170,184
170,184
171,186
172,186
172,185
172,185
172,185
171,183
170,184
168,183
168,185
166,190
165,190
165,184
165,184
165,185
165,186
165,186
165,186
165,184
164,184
164,184
163,184
163,186
162,185
162,184
161,184
161,184
160,186
160,186
159,183
159,184
159,187
159,184
159,187
159,187
159,185
159,185
159,184
159,184
160,186
160,186
161,185
160,183
160,184
159,184
159,184
158,185
158,185
158,186
158,184
158,184
157,187
157,187
157,186
157,184
157,185
157,184
157,184
156,184
156,183
156,184
156,188
156,189
156,189
156,245
157,240
158,242
159,242
160,233
160,233
161,232
161,233
162,232
163,234
163,233
161,235
160,235
160,233
160,232
160,233
161,232
161,242
161,238
162,238
162,235
163,236
164,235
165,234
166,233
166,232
167,233
167,233
168,235
168,235
169,234
169,234
170,235
170,234
171,233
171,233
171,233
172,233
172,235
172,234
172,233
172,236
172,235
172,235
172,234
173,233
173,233
173,234
173,235
174,235
174,235
174,236
175,236
175,233
175,233
175,234
175,234
175,234
175,231
175,231
175,231
174,195
174,183
174,180
174,180
174,177
174,183
174,182
173,182
174,182
174,184
174,182
174,183
174,186
175,186
175,186
175,182
175,184
174,184
175,184
175,184
175,185
175,183
175,182
175,182
175,180
175,183
174,184
174,186
174,184
174,184
173,184
173,183
173,183
173,183
173,183
172,183
172,181
172,188
173,188
172,198
172,194
172,187
172,187
172,186
173,185
173,187
173,187
174,187
174,188
174,189
174,187
173,192
173,192
173,189
172,189
171,186
170,185
170,184
169,185
170,186
170,187
170,187
170,185
170,184
170,182
171,186
171,186
171,184
170,183
169,183
167,183
166,185
166,185
166,186
166,186
166,185
165,186
165,186
165,188
165,185
165,184
165,185
165,184
165,184
164,185
164,185
164,184
163,181
163,186
163,183
163,185
163,189
162,184
162,184
162,182
162,185
162,182
161,182
161,182
161,184
160,182
160,182
161,187
160,190
160,186
159,189
157,189
157,184
156,184
156,185
155,185
155,186
155,187
155,182
154,182
153,187
152,185
151,185
151,186
152,189
152,189
154,244
155,244
157,236
158,235
159,235
160,237
161,235
162,233
163,234
164,235
165,235
165,235
165,235
166,234
167,234
167,233
168,233
168,239
169,239
169,235
170,235
170,234
171,234
171,233
171,233
171,237
171,235
171,235
172,234
172,235
172,234
173,234
173,233
173,232
173,232
173,236
173,233
172,230
172,240
172,240
172,239
173,232
173,230
173,230
173,236
173,235
174,234
174,234
174,236
174,236
174,233
175,233
175,231
175,232
175,233
175,233
175,233
175,232
176,232
176,232
176,232
176,171
175,112
175,111
175,111
175,112
175,112
175,112
175,112
174,111
174,112
172,111
170,111
169,111
168,112
168,112
167,112
167,111
166,111
166,111
167,112
167,111
166,111
166,111
166,111
166,111
166,111
165,111
164,112
164,111
163,111
162,111
162,111
161,111
160,111
159,111
159,111
159,111
158,111
158,111
158,111
157,111
157,111
156,112
156,111
156,112
155,110
155,110
155,110
155,110
155,112
154,111
154,110
153,112
153,112
152,111
152,111
151,111
151,111
151,112
151,111
152,111
151,111
151,111
148,111
147,111
146,111
146,111
146,110
146,111
145,111
144,111
144,111
144,112
143,111
144,110
143,110
144,111
143,111
143,111
143,111
142,111
142,111
142,110
142,111
142,111
143,111
143,111
144,111
144,111
144,111
144,112
144,111
143,111
143,111
142,111
143,111
143,111
143,111
143,111
143,111
143,111
143,111
143,112
143,112
143,112
144,110
144,110
144,111
144,111
143,111
142,111
142,111
141,112
141,111
141,111
141,111
141,111
141,111
141,111
140,110
140,110
140,187
140,186
139,184
139,184
139,184
140,183
140,184
140,186
142,186
143,186
143,184
144,185
145,185
146,184
147,185
147,185
148,185
148,185
149,185
150,184
151,185
151,185
152,187
153,185
154,185
155,184
156,186
157,186
158,184
159,185
160,184
160,184
161,184
161,188
162,187
162,187
162,185
161,185
158,185
157,185
155,184
155,184
154,188
154,188
152,185
152,186
151,185
151,185
152,184
152,185
152,185
153,183
153,184
154,185
155,185
156,186
157,187
157,187
158,185
159,183
159,184
159,184
159,184
159,186
159,185
159,186
159,186
159,185
158,184
159,185
159,185
159,184
158,185
158,184
158,184
157,186
157,187
157,184
156,184
156,185
155,185
155,185
155,185
155,185
154,184
154,184
153,183
153,184
152,190
152,190
153,188
153,185
153,184
153,186
153,185
153,185
153,185
153,184
153,184
153,185
154,186
154,185
154,185
154,186
155,187
155,187
155,185
155,187
154,185
154,185
153,186
154,185
154,185
154,186
154,185
154,185
154,186
154,186
155,186
155,203
155,203
154,203
155,243
155,235
156,233
156,232
157,234
158,232
158,232
158,235
159,234
159,238
159,236
160,231
160,231
160,233
161,233
161,233
161,235
161,232
162,233
162,235
162,233
163,233
164,233
165,235
165,233
166,234
166,233
167,236
167,235
167,231
168,232
168,232
168,233
168,237
168,234
168,231
168,234
169,232
168,232
169,234
169,235
169,238
169,241
169,237
170,233
170,233
170,230
171,230
171,232
171,231
171,233
171,235
171,235
172,235
172,230
172,235
172,236
172,236
172,219
172,219
173,183
173,183
173,183
172,182
172,181
172,176
172,174
172,180
173,180
173,183
173,183
174,183
174,186
175,183
175,183
176,183
176,183
175,180
175,179
175,179
174,182
174,186
174,189
173,188
173,187
173,187
172,189
172,187
172,188
172,186
171,188
171,187
172,196
172,196
172,196
172,189
171,186
171,188
170,188
169,186
169,186
168,184
168,184
168,184
167,188
168,186
167,185
168,185
168,186
168,186
168,186
168,185
167,185
167,185
167,186
167,186
166,184
167,184
166,185
167,185
167,187
168,186
168,184
169,187
168,188
168,188
169,188
169,183
169,184
169,185
169,185
169,184
169,183
168,183
168,185
168,185
168,186
167,187
167,185
167,185
167,186
167,186
166,185
166,184
166,184
166,184
165,183
165,183
164,186
163,186
163,187
163,184
163,183
163,185
162,185
162,183
161,186
161,184
162,183
161,185
162,187
161,184
162,185
161,184
161,185
161,185
161,186
160,185
160,185
159,186
159,186
159,185
159,186
159,186
160,185
160,186
160,184
161,183
161,183
160,208
160,208
160,208
160,239
160,245
160,234
160,234
160,232
160,232
161,235
161,240
162,241
162,234
163,233
164,234
164,234
166,232
166,232
167,232
168,236
168,236
169,234
170,236
171,232
171,233
171,233
172,234
172,234
173,234
173,232
173,233
175,233
175,235
175,235
176,234
176,235
176,235
176,233
177,236
176,236
176,236
177,232
177,232
177,234
177,235
177,234
178,234
178,233
177,233
177,233
178,235
177,234
177,233
177,234
177,234
176,234
176,234
176,233
176,232
176,235
176,235
177,216
177,216
176,216
177,182
177,182
176,185
176,183
176,187
176,186
175,185
175,185
175,185
174,186
174,185
174,183
173,184
173,183
172,184
172,189
172,189
172,185
172,188
172,184
173,185
173,184
173,186
174,186
174,185
174,184
174,185
174,185
175,184
175,184
176,184
176,184
177,184
177,184
178,185
178,188
178,185
178,185
177,184
177,186
177,187
176,187
176,185
175,185
174,185
173,186
173,185
172,185
172,185
172,183
172,186
172,188
173,185
173,185
174,184
174,184
174,184
174,183
174,185
174,185
174,185
174,188
174,185
174,185
174,185
174,186
174,184
175,186
175,186
174,186
175,185
174,184
174,184
174,184
174,184
174,185
173,187
173,187
173,186
172,186
172,186
171,186
171,187
171,186
171,185
171,186
171,185
171,185
172,185
172,186
171,186
171,188
171,184
171,184
170,184
168,184
167,183
166,183
165,186
164,186
164,182
163,182
163,182
162,184
162,186
162,187
162,184
162,186
162,184
163,183
163,183
162,183
162,187
161,186
161,183
161,185
161,185
160,185
160,228
160,228
160,228
160,249
160,243
161,236
162,234
162,232
163,232
164,233
164,234
164,233
165,234
165,234
165,234
165,231
165,234
166,234
166,234
166,236
166,235
166,231
166,233
166,235
167,238
167,238
168,234
168,232
168,233
169,232
169,232
169,234
170,234
170,234
170,237
170,238
171,232
171,233
172,233
173,233
173,235
174,235
175,233
176,233
176,235
177,238
178,233
178,232
178,233
179,233
179,231
179,235
179,235
179,235
179,233
179,236
179,236
178,235
178,233
178,235
178,234
178,234
178,234
178,232
178,184
178,184
179,185
179,178
178,178
178,180
178,180
177,181
176,189
175,189
175,186
175,184
175,183
175,181
175,183
175,185
176,185
176,184
176,184
176,183
175,187
175,187
175,185
175,183
175,185
175,185
174,184
175,187
174,186
174,186
175,186
175,186
174,186
175,184
175,184
175,186
175,180
175,180
175,187
175,191
175,191
174,188
174,188
173,181
173,181
173,182
173,182
173,181
173,181
173,186
173,189
173,185
174,187
174,184
174,184
174,182
175,182
175,184
174,184
174,187
174,187
174,191
174,192
174,192
173,188
172,188
172,185
171,187
171,185
171,182
170,184
170,184
169,185
169,184
168,185
168,184
167,183
167,177
166,177
166,175
166,189
165,197
165,185
165,184
165,181
164,185
164,187
165,187
165,185
165,182
164,180
163,179
162,194
162,188
162,183
163,183
163,182
163,184
163,182
162,182
163,183
163,183
162,182
163,182
163,183
163,190
163,187
164,184
164,184
164,184
164,185
164,184
164,185
164,183
163,183
163,188
163,188
163,183
162,183
162,183
162,182
162,231
162,249
162,239
163,234
163,234
163,234
163,234
164,235
165,237
165,232
166,234
167,236
168,236
169,236
170,236
171,235
173,233
174,233
176,234
177,234
178,236
179,236
180,235
181,236
181,235
182,233
182,233
183,235
183,236
184,236
184,231
184,233
184,233
184,234
183,234
183,232
183,237
183,237
182,237
182,234
181,234
181,234
180,236
179,236
178,233
178,233
179,236
179,236
179,233
180,232
180,232
181,233
181,234
182,234
182,233
183,234
183,235
183,234
183,200
183,200
183,184
184,184
184,179
183,179
183,184
181,184
180,184
179,183
178,184
176,184
176,184
175,186
174,187
173,183
172,183
172,188
171,188
171,186
170,183
170,185
169,185
168,184
168,183
167,186
167,185
167,184
167,185
167,183
166,188
166,184
166,185
166,188
165,188
165,188
165,186
165,183
165,185
165,185
165,185
164,187
164,187
164,185
164,184
163,186
163,185
163,185
163,185
163,184
163,184
163,184
163,189
164,185
164,185
164,184
163,184
163,184
163,184
163,181
162,184
162,186
162,190
162,190
162,183
162,184
163,184
163,186
164,185
165,184
166,187
166,185
167,183
168,187
169,187
169,187
171,186
172,185
172,186
173,186
174,186
174,186
175,186
175,185
176,184
176,185
176,185
176,186
175,185
175,185
174,183
172,183
170,184
169,185
169,185
168,187
167,187
167,184
167,185
167,188
166,184
165,184
164,184
163,185
162,186
162,183
162,183
161,184
161,186
160,185
160,183
160,184
160,184
160,184
159,185
159,186
159,185
158,187
158,187
158,185
157,185
157,185
157,185
157,202
158,245
158,239
158,233
158,237
159,235
160,235
160,237
161,234
162,231
163,234
164,236
165,238
166,238
167,233
167,231
166,234
167,237
167,237
167,235
168,235
168,231
168,231
168,231
168,232
169,233
169,232
169,232
169,236
170,236
170,238
171,237
171,232
171,233
172,231
172,232
173,232
174,233
174,236
175,236
175,234
176,235
177,235
178,236
178,236
179,234
179,234
180,233
180,233
180,236
181,234
180,234
179,234
179,233
179,235
179,235
179,235
179,230
178,231
178,198
178,198
178,198
178,181
177,183
177,185
177,179
177,179
176,181
176,185
177,184
176,184
177,183
177,183
177,184
177,185
177,186
177,185
177,185
177,185
177,183
177,185
178,182
177,185
178,185
177,184
177,184
177,183
177,185
176,186
176,186
176,185
176,185
176,185
176,185
175,184
175,186
175,184
176,184
176,182
175,183
175,183
175,183
176,185
175,180
175,181
176,187
176,187
176,182
176,184
176,188
176,189
176,183
175,186
176,186
175,188
175,186
175,186
176,186
175,186
176,186
175,187
176,196
176,194
176,188
176,187
176,187
176,187
176,186
176,187
177,186
177,186
178,186
178,186
179,187
179,184
179,185
180,187
179,191
180,186
180,183
180,183
180,184
180,185
180,185
180,186
179,185
179,184
177,184
177,185
176,186
176,185
175,185
174,185
173,184
172,185
172,184
171,184
171,184
170,186
169,184
169,186
169,186
169,186
168,185
168,185
168,187
168,183
168,185
168,185
169,186
169,186
170,186
170,186
171,187
171,184
172,189
172,184
173,184
173,184
172,185
171,186
171,186
170,207
170,230
169,239
170,239
170,238
169,235
169,235
169,234
169,235
169,233
169,232
170,232
170,232
170,232
170,232
171,232
171,236
171,233
171,232
171,233
171,235
170,234
170,234
171,237
171,234
171,238
171,236
172,235
173,233
174,233
174,232
175,231
175,234
176,232
176,231
176,233
175,233
175,233
175,234
